val/GaussianNLL,val/MSE,epoch,step,train/GaussianNLL,train/MSE
0.5156331062316895,1.031266212463379,0,124,,
,,0,124,0.5005441904067993,1.0010883808135986
0.5071314573287964,1.0142629146575928,1,249,,
,,1,249,0.47003892064094543,0.9400778412818909
0.502850353717804,1.005700707435608,2,374,,
,,2,374,0.46444565057754517,0.9288913011550903
0.4992474615573883,0.9984949231147766,3,499,,
,,3,499,0.4601444602012634,0.9202889204025269
0.4955187141895294,0.9910374283790588,4,624,,
,,4,624,0.45611995458602905,0.9122399091720581
0.4927724003791809,0.9855448007583618,5,749,,
,,5,749,0.4527744650840759,0.9055489301681519
0.49142637848854065,0.9828527569770813,6,874,,
,,6,874,0.4506206810474396,0.9012413620948792
0.4893767535686493,0.9787535071372986,7,999,,
,,7,999,0.4479617774486542,0.8959235548973083
0.4872283339500427,0.9744566679000854,8,1124,,
,,8,1124,0.4468832015991211,0.8937664031982422
0.48547661304473877,0.9709532260894775,9,1249,,
,,9,1249,0.4445977509021759,0.8891955018043518
0.48558366298675537,0.9711673259735107,10,1374,,
,,10,1374,0.4432562291622162,0.8865124583244324
0.4838653802871704,0.9677307605743408,11,1499,,
,,11,1499,0.4414817690849304,0.8829635381698608
0.4821074903011322,0.9642149806022644,12,1624,,
,,12,1624,0.4405443072319031,0.8810886144638062
0.4802677631378174,0.9605355262756348,13,1749,,
,,13,1749,0.4393172562122345,0.878634512424469
0.479789137840271,0.959578275680542,14,1874,,
,,14,1874,0.43853074312210083,0.8770614862442017
0.47773319482803345,0.9554663896560669,15,1999,,
,,15,1999,0.436880886554718,0.873761773109436
0.47763437032699585,0.9552687406539917,16,2124,,
,,16,2124,0.4357433617115021,0.8714867234230042
0.4748701751232147,0.9497403502464294,17,2249,,
,,17,2249,0.4342266917228699,0.8684533834457397
0.4747621417045593,0.9495242834091187,18,2374,,
,,18,2374,0.43308570981025696,0.8661714196205139
0.4725702702999115,0.945140540599823,19,2499,,
,,19,2499,0.43168580532073975,0.8633716106414795
0.47134095430374146,0.9426819086074829,20,2624,,
,,20,2624,0.4305059313774109,0.8610118627548218
0.4722556173801422,0.9445112347602844,21,2749,,
,,21,2749,0.42941150069236755,0.8588230013847351
0.47030359506607056,0.9406071901321411,22,2874,,
,,22,2874,0.4280586242675781,0.8561172485351562
0.46688565611839294,0.9337713122367859,23,2999,,
,,23,2999,0.42712703347206116,0.8542540669441223
0.4661674201488495,0.932334840297699,24,3124,,
,,24,3124,0.42567121982574463,0.8513424396514893
0.4650726318359375,0.930145263671875,25,3249,,
,,25,3249,0.424422025680542,0.848844051361084
0.4657548666000366,0.9315097332000732,26,3374,,
,,26,3374,0.4237562417984009,0.8475124835968018
0.4638495147228241,0.9276990294456482,27,3499,,
,,27,3499,0.4227067530155182,0.8454135060310364
0.4632614552974701,0.9265229105949402,28,3624,,
,,28,3624,0.42150211334228516,0.8430042266845703
0.4606318771839142,0.9212637543678284,29,3749,,
,,29,3749,0.42084044218063354,0.8416808843612671
0.46020039916038513,0.9204007983207703,30,3874,,
,,30,3874,0.41971641778945923,0.8394328355789185
0.46105921268463135,0.9221184253692627,31,3999,,
,,31,3999,0.41879159212112427,0.8375831842422485
0.4584106504917145,0.916821300983429,32,4124,,
,,32,4124,0.4181808829307556,0.8363617658615112
0.4591372013092041,0.9182744026184082,33,4249,,
,,33,4249,0.4177349805831909,0.8354699611663818
0.457766056060791,0.915532112121582,34,4374,,
,,34,4374,0.4164802134037018,0.8329604268074036
0.45710986852645874,0.9142197370529175,35,4499,,
,,35,4499,0.41576987504959106,0.8315397500991821
0.4567328095436096,0.9134656190872192,36,4624,,
,,36,4624,0.41545259952545166,0.8309051990509033
0.4551689624786377,0.9103379249572754,37,4749,,
,,37,4749,0.4150795340538025,0.830159068107605
0.45438891649246216,0.9087778329849243,38,4874,,
,,38,4874,0.41378986835479736,0.8275797367095947
0.4544111490249634,0.9088222980499268,39,4999,,
,,39,4999,0.4136096239089966,0.8272192478179932
0.4536018371582031,0.9072036743164062,40,5124,,
,,40,5124,0.41273531317710876,0.8254706263542175
0.4533228874206543,0.9066457748413086,41,5249,,
,,41,5249,0.41214635968208313,0.8242927193641663
0.45274561643600464,0.9054912328720093,42,5374,,
,,42,5374,0.4119943678379059,0.8239887356758118
0.4545108675956726,0.9090217351913452,43,5499,,
,,43,5499,0.4116228520870209,0.8232457041740417
0.45189806818962097,0.9037961363792419,44,5624,,
,,44,5624,0.4108734130859375,0.821746826171875
0.4555443525314331,0.9110887050628662,45,5749,,
,,45,5749,0.41036301851272583,0.8207260370254517
0.44937384128570557,0.8987476825714111,46,5874,,
,,46,5874,0.4093375504016876,0.8186751008033752
0.451196551322937,0.902393102645874,47,5999,,
,,47,5999,0.40942561626434326,0.8188512325286865
0.44880616664886475,0.8976123332977295,48,6124,,
,,48,6124,0.408771812915802,0.817543625831604
0.4510325491428375,0.902065098285675,49,6249,,
,,49,6249,0.4081863760948181,0.8163727521896362
0.44868528842926025,0.8973705768585205,50,6374,,
,,50,6374,0.4081692397594452,0.8163384795188904
0.44774019718170166,0.8954803943634033,51,6499,,
,,51,6499,0.40717244148254395,0.8143448829650879
0.4466962218284607,0.8933924436569214,52,6624,,
,,52,6624,0.40644901990890503,0.8128980398178101
0.44631072878837585,0.8926214575767517,53,6749,,
,,53,6749,0.4058176577091217,0.8116353154182434
0.44557562470436096,0.8911512494087219,54,6874,,
,,54,6874,0.40554484724998474,0.8110896944999695
0.4463297128677368,0.8926594257354736,55,6999,,
,,55,6999,0.40480971336364746,0.8096194267272949
0.4450627267360687,0.8901254534721375,56,7124,,
,,56,7124,0.40431055426597595,0.8086211085319519
0.4443351924419403,0.8886703848838806,57,7249,,
,,57,7249,0.4036863148212433,0.8073726296424866
0.4474899470806122,0.8949798941612244,58,7374,,
,,58,7374,0.4034806489944458,0.8069612979888916
0.44618919491767883,0.8923783898353577,59,7499,,
,,59,7499,0.4033390283584595,0.806678056716919
0.4428701400756836,0.8857402801513672,60,7624,,
,,60,7624,0.40297213196754456,0.8059442639350891
0.4458823800086975,0.891764760017395,61,7749,,
,,61,7749,0.40215417742729187,0.8043083548545837
0.44133320450782776,0.8826664090156555,62,7874,,
,,62,7874,0.4015817940235138,0.8031635880470276
0.4414331614971161,0.8828663229942322,63,7999,,
,,63,7999,0.4012945294380188,0.8025890588760376
0.44512078166007996,0.8902415633201599,64,8124,,
,,64,8124,0.4008350670337677,0.8016701340675354
0.4400077164173126,0.8800154328346252,65,8249,,
,,65,8249,0.3999854028224945,0.799970805644989
0.4405083656311035,0.881016731262207,66,8374,,
,,66,8374,0.39991796016693115,0.7998359203338623
0.44072726368904114,0.8814545273780823,67,8499,,
,,67,8499,0.39944714307785034,0.7988942861557007
0.4391319751739502,0.8782639503479004,68,8624,,
,,68,8624,0.3993413746356964,0.7986827492713928
0.4407840371131897,0.8815680742263794,69,8749,,
,,69,8749,0.3984834849834442,0.7969669699668884
0.4378684163093567,0.8757368326187134,70,8874,,
,,70,8874,0.39774855971336365,0.7954971194267273
0.43768587708473206,0.8753717541694641,71,8999,,
,,71,8999,0.39718660712242126,0.7943732142448425
0.4370543658733368,0.8741087317466736,72,9124,,
,,72,9124,0.3972008526325226,0.7944017052650452
0.4374156594276428,0.8748313188552856,73,9249,,
,,73,9249,0.3968440890312195,0.793688178062439
0.43614083528518677,0.8722816705703735,74,9374,,
,,74,9374,0.3964292109012604,0.7928584218025208
0.43708840012550354,0.8741768002510071,75,9499,,
,,75,9499,0.3961438238620758,0.7922876477241516
0.4358910024166107,0.8717820048332214,76,9624,,
,,76,9624,0.39612194895744324,0.7922438979148865
0.4342670142650604,0.8685340285301208,77,9749,,
,,77,9749,0.39566749334335327,0.7913349866867065
0.4376606047153473,0.8753212094306946,78,9874,,
,,78,9874,0.39485490322113037,0.7897098064422607
0.43614813685417175,0.8722962737083435,79,9999,,
,,79,9999,0.39447757601737976,0.7889551520347595
0.4336805045604706,0.8673610091209412,80,10124,,
,,80,10124,0.3942485451698303,0.7884970903396606
0.4337756931781769,0.8675513863563538,81,10249,,
,,81,10249,0.393889844417572,0.787779688835144
0.4362155795097351,0.8724311590194702,82,10374,,
,,82,10374,0.3929639756679535,0.785927951335907
0.4325971007347107,0.8651942014694214,83,10499,,
,,83,10499,0.3933292031288147,0.7866584062576294
0.4313890039920807,0.8627780079841614,84,10624,,
,,84,10624,0.39267975091934204,0.7853595018386841
0.43058082461357117,0.8611616492271423,85,10749,,
,,85,10749,0.39302098751068115,0.7860419750213623
0.42980748414993286,0.8596149682998657,86,10874,,
,,86,10874,0.39247357845306396,0.7849471569061279
0.43119433522224426,0.8623886704444885,87,10999,,
,,87,10999,0.3919692933559418,0.7839385867118835
0.4309225082397461,0.8618450164794922,88,11124,,
,,88,11124,0.39128485321998596,0.7825697064399719
0.43019354343414307,0.8603870868682861,89,11249,,
,,89,11249,0.39069852232933044,0.7813970446586609
0.4319729804992676,0.8639459609985352,90,11374,,
,,90,11374,0.3907926082611084,0.7815852165222168
0.42878738045692444,0.8575747609138489,91,11499,,
,,91,11499,0.39028945565223694,0.7805789113044739
0.4279746413230896,0.8559492826461792,92,11624,,
,,92,11624,0.3896610736846924,0.7793221473693848
0.42767611145973206,0.8553522229194641,93,11749,,
,,93,11749,0.38948583602905273,0.7789716720581055
0.43109554052352905,0.8621910810470581,94,11874,,
,,94,11874,0.3890923261642456,0.7781846523284912
