val/GaussianNLL,val/MSE,epoch,step,train/GaussianNLL,train/MSE
-0.39199137687683105,0.15567290782928467,0,624,,
,,0,624,0.8263015747070312,2.019804000854492
-0.48770928382873535,0.14173966646194458,1,1249,,
,,1,1249,-0.4596393406391144,0.14586679637432098
-0.5272141098976135,0.13294926285743713,2,1874,,
,,2,1874,-0.49731406569480896,0.14086221158504486
-0.5974262356758118,0.11454308778047562,3,2499,,
,,3,2499,-0.5483718514442444,0.12685449421405792
-0.6939203143119812,0.09193629771471024,4,3124,,
,,4,3124,-0.6315699219703674,0.10553399473428726
-0.7793211936950684,0.07726576924324036,5,3749,,
,,5,3749,-0.7252945899963379,0.08608058840036392
-0.8117634057998657,0.07295266538858414,6,4374,,
,,6,4374,-0.7837498784065247,0.07689688354730606
-0.8169452548027039,0.0722896009683609,7,4999,,
,,7,4999,-0.7973304390907288,0.07529416680335999
-0.8190454244613647,0.07241944223642349,8,5624,,
,,8,5624,-0.8006925582885742,0.07501593232154846
-0.8189202547073364,0.07258777320384979,9,6249,,
,,9,6249,-0.8029025197029114,0.07491201162338257
-0.8211483359336853,0.0724889263510704,10,6874,,
,,10,6874,-0.8047531247138977,0.07492959499359131
-0.8200310468673706,0.07289125770330429,11,7499,,
,,11,7499,-0.805720865726471,0.07502191513776779
-0.8241022229194641,0.07253493368625641,12,8124,,
,,12,8124,-0.8068347573280334,0.07510411739349365
-0.8266316652297974,0.0724213719367981,13,8749,,
,,13,8749,-0.8082414865493774,0.0751693844795227
-0.8269475698471069,0.07261782139539719,14,9374,,
,,14,9374,-0.8081463575363159,0.07541382312774658
-0.8291728496551514,0.07268431037664413,15,9999,,
,,15,9999,-0.8106054663658142,0.07534826546907425
-0.8259274363517761,0.07302927225828171,16,10624,,
,,16,10624,-0.8130991458892822,0.07528437674045563
-0.8299621939659119,0.07285279780626297,17,11249,,
,,17,11249,-0.8136821389198303,0.07545215636491776
-0.8233785033226013,0.07388199120759964,18,11874,,
,,18,11874,-0.8139562010765076,0.0756768137216568
-0.8295972943305969,0.07367845624685287,19,12499,,
,,19,12499,-0.815471887588501,0.07573878765106201
-0.833771288394928,0.07317756861448288,20,13124,,
,,20,13124,-0.8168182373046875,0.07579568028450012
-0.8256326913833618,0.0746539831161499,21,13749,,
,,21,13749,-0.8167970180511475,0.07606491446495056
-0.8348234295845032,0.07351633161306381,22,14374,,
,,22,14374,-0.8182041645050049,0.07607124000787735
-0.8351712822914124,0.07372410595417023,23,14999,,
,,23,14999,-0.8186837434768677,0.07618297636508942
-0.8339908123016357,0.07371882349252701,24,15624,,
,,24,15624,-0.8188610672950745,0.07652145624160767
-0.8363943099975586,0.07382739335298538,25,16249,,
,,25,16249,-0.8196955323219299,0.07649080455303192
-0.8329053521156311,0.07435116916894913,26,16874,,
,,26,16874,-0.8200829029083252,0.07675154507160187
-0.8324365019798279,0.0748920887708664,27,17499,,
,,27,17499,-0.8202242255210876,0.0769718736410141
-0.8317467570304871,0.07458845525979996,28,18124,,
,,28,18124,-0.8202160000801086,0.07699340581893921
-0.8381580114364624,0.07448478043079376,29,18749,,
,,29,18749,-0.8208075165748596,0.07704713195562363
-0.8354688286781311,0.07424379140138626,30,19374,,
,,30,19374,-0.8216937780380249,0.07733814418315887
-0.8360075950622559,0.07468590885400772,31,19999,,
,,31,19999,-0.8211387991905212,0.07734774053096771
-0.8385248184204102,0.07450882345438004,32,20624,,
,,32,20624,-0.8206626772880554,0.07759302109479904
-0.8326905369758606,0.075064517557621,33,21249,,
,,33,21249,-0.8221482634544373,0.07752954214811325
-0.8345001935958862,0.07514452189207077,34,21874,,
,,34,21874,-0.821982204914093,0.07761790603399277
-0.832852840423584,0.07622100412845612,35,22499,,
,,35,22499,-0.8217588663101196,0.07775690406560898
-0.839165210723877,0.07490856200456619,36,23124,,
,,36,23124,-0.8225310444831848,0.0778430849313736
-0.8346940279006958,0.07523344457149506,37,23749,,
,,37,23749,-0.8229970932006836,0.07786605507135391
-0.8399302959442139,0.07501529902219772,38,24374,,
,,38,24374,-0.8222469687461853,0.07801423966884613
-0.8408104777336121,0.07514088600873947,39,24999,,
,,39,24999,-0.8224189281463623,0.07807934284210205
-0.8519768714904785,0.07378008961677551,40,25624,,
,,40,25624,-0.829212486743927,0.07700079679489136
-0.8616393804550171,0.0724375918507576,41,26249,,
,,41,26249,-0.8392921090126038,0.076035276055336
-0.8550956845283508,0.0741177573800087,42,26874,,
,,42,26874,-0.8484287261962891,0.07486122101545334
-0.8815886974334717,0.07025634497404099,43,27499,,
,,43,27499,-0.8597072958946228,0.07332491874694824
-0.8966227769851685,0.0680084228515625,44,28124,,
,,44,28124,-0.8711313605308533,0.07205372303724289
-0.9061747789382935,0.06638234853744507,45,28749,,
,,45,28749,-0.8854179978370667,0.07047407329082489
-0.9171451926231384,0.06679568439722061,46,29374,,
,,46,29374,-0.8969997763633728,0.06890148669481277
-0.9213188290596008,0.0646231397986412,47,29999,,
,,47,29999,-0.9102190136909485,0.06760378181934357
-0.9475330114364624,0.06252183765172958,48,30624,,
,,48,30624,-0.9227914214134216,0.06625906378030777
-0.9444354772567749,0.062164582312107086,49,31249,,
,,49,31249,-0.9354997873306274,0.06502117216587067
-0.9711718559265137,0.061413343995809555,50,31874,,
,,50,31874,-0.9486174583435059,0.06389688700437546
-0.9887805581092834,0.05889105796813965,51,32499,,
,,51,32499,-0.960965633392334,0.06259001791477203
-0.9980570077896118,0.057854246348142624,52,33124,,
,,52,33124,-0.9712868928909302,0.062021613121032715
-0.9929152131080627,0.05967606231570244,53,33749,,
,,53,33749,-0.9842758774757385,0.06047367677092552
-1.021061897277832,0.05653637647628784,54,34374,,
,,54,34374,-0.9959211945533752,0.05982141196727753
-1.030400276184082,0.05608322098851204,55,34999,,
,,55,34999,-1.0049580335617065,0.05889780446887016
-1.0230234861373901,0.05806124955415726,56,35624,,
,,56,35624,-1.0118578672409058,0.058650147169828415
-1.0383244752883911,0.05474407225847244,57,36249,,
,,57,36249,-1.0195258855819702,0.05780704319477081
-1.049994945526123,0.054539766162633896,58,36874,,
,,58,36874,-1.027223825454712,0.057432036846876144
-1.0513887405395508,0.05376163870096207,59,37499,,
,,59,37499,-1.031070351600647,0.05708756670355797
-1.056693434715271,0.053797077387571335,60,38124,,
,,60,38124,-1.0354676246643066,0.056744642555713654
-1.0595024824142456,0.05477304756641388,61,38749,,
,,61,38749,-1.0386626720428467,0.05625123158097267
-1.061882734298706,0.05424335226416588,62,39374,,
,,62,39374,-1.0405800342559814,0.056445274502038956
-1.060868263244629,0.05309838429093361,63,39999,,
,,63,39999,-1.044126033782959,0.056170228868722916
-1.0616334676742554,0.05324680358171463,64,40624,,
,,64,40624,-1.046141266822815,0.055808763951063156
-1.066180944442749,0.053613513708114624,65,41249,,
,,65,41249,-1.0490927696228027,0.05549641698598862
-1.0914239883422852,0.04742410406470299,66,41874,,
,,66,41874,-1.0502458810806274,0.055172886699438095
-1.2248786687850952,0.0330769345164299,67,42499,,
,,67,42499,-1.1391007900238037,0.040731023997068405
-1.2718325853347778,0.03072260692715645,68,43124,,
,,68,43124,-1.2371282577514648,0.032709475606679916
-1.2966288328170776,0.030212221667170525,69,43749,,
,,69,43749,-1.2682307958602905,0.03162556141614914
-1.3038872480392456,0.030093764886260033,70,44374,,
,,70,44374,-1.2730587720870972,0.031702302396297455
-1.3079698085784912,0.03019927442073822,71,44999,,
,,71,44999,-1.281740427017212,0.03152943029999733
-1.2981243133544922,0.030909163877367973,72,45624,,
,,72,45624,-1.283821702003479,0.03159302845597267
-1.316129446029663,0.0300433449447155,73,46249,,
,,73,46249,-1.286919116973877,0.03155164048075676
-1.3143843412399292,0.030179189518094063,74,46874,,
,,74,46874,-1.2917875051498413,0.031479381024837494
-1.3120838403701782,0.030064336955547333,75,47499,,
,,75,47499,-1.292553424835205,0.03151281923055649
-1.320326328277588,0.029930641874670982,76,48124,,
,,76,48124,-1.2953168153762817,0.031445909291505814
-1.3257206678390503,0.02989938110113144,77,48749,,
,,77,48749,-1.2926983833312988,0.03163336217403412
-1.3183640241622925,0.03005703166127205,78,49374,,
,,78,49374,-1.2986054420471191,0.031496256589889526
-1.322156548500061,0.030153384432196617,79,49999,,
,,79,49999,-1.2988096475601196,0.03148617222905159
-1.3262149095535278,0.029901165515184402,80,50624,,
,,80,50624,-1.3000993728637695,0.03152637183666229
-1.3172870874404907,0.030335353687405586,81,51249,,
,,81,51249,-1.29978346824646,0.03159697726368904
-1.324440836906433,0.030239077284932137,82,51874,,
,,82,51874,-1.3023250102996826,0.031506914645433426
-1.3294646739959717,0.02998061291873455,83,52499,,
,,83,52499,-1.304970145225525,0.031438495963811874
-1.3215454816818237,0.03030501678586006,84,53124,,
,,84,53124,-1.3038780689239502,0.03157336264848709
-1.3291765451431274,0.030075853690505028,85,53749,,
,,85,53749,-1.3064229488372803,0.031500738114118576
-1.3153939247131348,0.030600864440202713,86,54374,,
,,86,54374,-1.3065385818481445,0.031506478786468506
-1.3343242406845093,0.029878949746489525,87,54999,,
,,87,54999,-1.3064634799957275,0.031545985490083694
-1.3290456533432007,0.030080746859312057,88,55624,,
,,88,55624,-1.3080897331237793,0.03154981881380081
-1.2891618013381958,0.031854722648859024,89,56249,,
,,89,56249,-1.3082261085510254,0.03155705705285072
-1.3334046602249146,0.030054932460188866,90,56874,,
,,90,56874,-1.3106050491333008,0.031541354954242706
-1.3315075635910034,0.030089404433965683,91,57499,,
,,91,57499,-1.309516191482544,0.03154674544930458
-1.3272773027420044,0.030304089188575745,92,58124,,
,,92,58124,-1.3137452602386475,0.031466156244277954
-1.333559274673462,0.030122263357043266,93,58749,,
,,93,58749,-1.3133639097213745,0.03147117793560028
-1.3347318172454834,0.029933791607618332,94,59374,,
,,94,59374,-1.308606505393982,0.03172978386282921
-1.3367398977279663,0.029948709532618523,95,59999,,
,,95,59999,-1.3164398670196533,0.03145451471209526
-1.339350938796997,0.02993779629468918,96,60624,,
,,96,60624,-1.315251111984253,0.03151039406657219
-1.3387643098831177,0.03003942035138607,97,61249,,
,,97,61249,-1.317059874534607,0.031465765088796616
-1.3401979207992554,0.029891522601246834,98,61874,,
,,98,61874,-1.318549633026123,0.03147686645388603
-1.31536865234375,0.030731530860066414,99,62499,,
,,99,62499,-1.31529700756073,0.031600914895534515
-1.321243405342102,0.030654678121209145,100,63124,,
,,100,63124,-1.3176056146621704,0.0314946211874485
-1.3404620885849,0.02995406463742256,101,63749,,
,,101,63749,-1.3183891773223877,0.0315389446914196
-1.3371015787124634,0.03017614409327507,102,64374,,
,,102,64374,-1.319183588027954,0.031527262181043625
-1.3317933082580566,0.030446527525782585,103,64999,,
,,103,64999,-1.318905234336853,0.031578946858644485
-1.3382408618927002,0.03029189072549343,104,65624,,
,,104,65624,-1.3197489976882935,0.03157501295208931
-1.3373912572860718,0.03014087863266468,105,66249,,
,,105,66249,-1.3179712295532227,0.03164268657565117
-1.3238246440887451,0.03053872287273407,106,66874,,
,,106,66874,-1.3170998096466064,0.0317021943628788
-1.3336811065673828,0.030263610184192657,107,67499,,
,,107,67499,-1.3217370510101318,0.03155398741364479
-1.341570258140564,0.030106768012046814,108,68124,,
,,108,68124,-1.3200591802597046,0.03162926062941551
-1.3400312662124634,0.030120061710476875,109,68749,,
,,109,68749,-1.3231146335601807,0.03157461807131767
-1.3458716869354248,0.029968712478876114,110,69374,,
,,110,69374,-1.3245583772659302,0.03154812380671501
-1.3394583463668823,0.030285174027085304,111,69999,,
,,111,69999,-1.3212326765060425,0.031679511070251465
-1.3242357969284058,0.030805200338363647,112,70624,,
,,112,70624,-1.3239505290985107,0.031573209911584854
-1.3380968570709229,0.030388498678803444,113,71249,,
,,113,71249,-1.323350429534912,0.031675126403570175
-1.2972348928451538,0.03191865608096123,114,71874,,
,,114,71874,-1.3225106000900269,0.03165729343891144
-1.3469544649124146,0.03006494976580143,115,72499,,
,,115,72499,-1.3248082399368286,0.031628694385290146
-1.338369369506836,0.030252207070589066,116,73124,,
,,116,73124,-1.3270593881607056,0.031554240733385086
-1.3317371606826782,0.030473550781607628,117,73749,,
,,117,73749,-1.327139973640442,0.03157277777791023
-1.3484539985656738,0.03005410172045231,118,74374,,
,,118,74374,-1.326554536819458,0.03162720054388046
-1.3345896005630493,0.03046383336186409,119,74999,,
,,119,74999,-1.3243093490600586,0.031732283532619476
-1.3275046348571777,0.030678482726216316,120,75624,,
,,120,75624,-1.3271052837371826,0.0315995067358017
-1.3380489349365234,0.03065333515405655,121,76249,,
,,121,76249,-1.326151967048645,0.031698159873485565
-1.3197021484375,0.031206641346216202,122,76874,,
,,122,76874,-1.3248952627182007,0.03179352730512619
-1.340312123298645,0.030550329014658928,123,77499,,
,,123,77499,-1.3258196115493774,0.03171225264668465
-1.3499127626419067,0.03011457249522209,124,78124,,
,,124,78124,-1.3276143074035645,0.031709663569927216
-1.3363384008407593,0.03080008178949356,125,78749,,
,,125,78749,-1.3297443389892578,0.031678445637226105
-1.342630386352539,0.03037153370678425,126,79374,,
,,126,79374,-1.329227328300476,0.03170406445860863
-1.350943922996521,0.030087405815720558,127,79999,,
,,127,79999,-1.3295444250106812,0.03170778974890709
-1.3304942846298218,0.030701113864779472,128,80624,,
,,128,80624,-1.3285962343215942,0.03177058696746826
-1.34549880027771,0.030224837362766266,129,81249,,
,,129,81249,-1.3311725854873657,0.031694527715444565
-1.3462635278701782,0.03031000681221485,130,81874,,
,,130,81874,-1.330092191696167,0.031760573387145996
-1.345982551574707,0.03042573854327202,131,82499,,
,,131,82499,-1.3283841609954834,0.031845152378082275
-1.353376030921936,0.030227728188037872,132,83124,,
,,132,83124,-1.3343514204025269,0.0316256545484066
-1.340362548828125,0.03084450773894787,133,83749,,
,,133,83749,-1.331064224243164,0.031765248626470566
-1.3437447547912598,0.030662063509225845,134,84374,,
,,134,84374,-1.3341515064239502,0.031689953058958054
-1.3510068655014038,0.03025917336344719,135,84999,,
,,135,84999,-1.3313634395599365,0.03179952874779701
-1.3525199890136719,0.03019571490585804,136,85624,,
,,136,85624,-1.3335232734680176,0.031780365854501724
-1.35309898853302,0.030240872874855995,137,86249,,
,,137,86249,-1.3322588205337524,0.0318487286567688
-1.3526984453201294,0.030335891991853714,138,86874,,
,,138,86874,-1.3335601091384888,0.03184206411242485
-1.344757080078125,0.03057059645652771,139,87499,,
,,139,87499,-1.3343514204025269,0.03179294615983963
-1.3499559164047241,0.030362484976649284,140,88124,,
,,140,88124,-1.3338186740875244,0.03184115141630173
-1.3543776273727417,0.030309461057186127,141,88749,,
,,141,88749,-1.3338898420333862,0.031885597854852676
-1.3518085479736328,0.030499719083309174,142,89374,,
,,142,89374,-1.335089921951294,0.03189997375011444
-1.3504947423934937,0.030537525191903114,143,89999,,
,,143,89999,-1.3332648277282715,0.03194018825888634
-1.3285892009735107,0.03178982064127922,144,90624,,
,,144,90624,-1.334088921546936,0.03188744932413101
-1.348815679550171,0.03061813674867153,145,91249,,
,,145,91249,-1.3350226879119873,0.0318925715982914
-1.3571697473526,0.03034607507288456,146,91874,,
,,146,91874,-1.338047742843628,0.03182756528258324
-1.3429149389266968,0.03075553849339485,147,92499,,
,,147,92499,-1.336393117904663,0.031918592751026154
-1.329910159111023,0.03132892772555351,148,93124,,
,,148,93124,-1.3383480310440063,0.03185577318072319
-1.3577682971954346,0.03043016605079174,149,93749,,
,,149,93749,-1.334248661994934,0.03205133602023125
-1.333661437034607,0.031416863203048706,150,94374,,
,,150,94374,-1.3384615182876587,0.03189759701490402
-1.354431390762329,0.030522027984261513,151,94999,,
,,151,94999,-1.336585283279419,0.03197125717997551
-1.3510593175888062,0.03070485219359398,152,95624,,
,,152,95624,-1.3379900455474854,0.03196742758154869
-1.355286955833435,0.030469635501503944,153,96249,,
,,153,96249,-1.337783932685852,0.03196759894490242
-1.3597458600997925,0.030366916209459305,154,96874,,
,,154,96874,-1.3373454809188843,0.031998153775930405
-1.3587315082550049,0.030353939160704613,155,97499,,
,,155,97499,-1.3389819860458374,0.031955964863300323
-1.3336834907531738,0.03108230046927929,156,98124,,
,,156,98124,-1.3392802476882935,0.03196975588798523
-1.3474388122558594,0.0308170598000288,157,98749,,
,,157,98749,-1.337460994720459,0.032040201127529144
-1.3515253067016602,0.030627507716417313,158,99374,,
,,158,99374,-1.3392382860183716,0.03201056644320488
-1.335240364074707,0.03150983527302742,159,99999,,
,,159,99999,-1.3402125835418701,0.03198318928480148
-1.354718565940857,0.030535269528627396,160,100624,,
,,160,100624,-1.3394073247909546,0.03206001594662666
-1.3019287586212158,0.03261285275220871,161,101249,,
,,161,101249,-1.3408254384994507,0.03198575973510742
-1.3603991270065308,0.03042171709239483,162,101874,,
,,162,101874,-1.3412941694259644,0.032052040100097656
-1.3566570281982422,0.03088238835334778,163,102499,,
,,163,102499,-1.3382214307785034,0.03211751580238342
-1.3168624639511108,0.032096657902002335,164,103124,,
,,164,103124,-1.342238426208496,0.03207108750939369
-1.361507773399353,0.03051218017935753,165,103749,,
,,165,103749,-1.3405100107192993,0.0320785827934742
-1.3601328134536743,0.030423041433095932,166,104374,,
,,166,104374,-1.3430496454238892,0.03200560435652733
-1.3548327684402466,0.030623726546764374,167,104999,,
,,167,104999,-1.3415653705596924,0.03209500387310982
-1.3612254858016968,0.030680257827043533,168,105624,,
,,168,105624,-1.340922236442566,0.032132837921381
-1.352636694908142,0.03107989765703678,169,106249,,
,,169,106249,-1.3398760557174683,0.03220505639910698
-1.359232783317566,0.030778011307120323,170,106874,,
,,170,106874,-1.341815710067749,0.03218206763267517
-1.3219656944274902,0.031667061150074005,171,107499,,
,,171,107499,-1.3452413082122803,0.03209894895553589
-1.3629462718963623,0.030501635745167732,172,108124,,
,,172,108124,-1.3419331312179565,0.032168664038181305
-1.3444522619247437,0.031473517417907715,173,108749,,
,,173,108749,-1.343386173248291,0.03219049423933029
-1.36436128616333,0.030707119032740593,174,109374,,
,,174,109374,-1.3427255153656006,0.03221925348043442
-1.3458164930343628,0.031089095398783684,175,109999,,
,,175,109999,-1.3445472717285156,0.03217698633670807
-1.338200569152832,0.03157376870512962,176,110624,,
,,176,110624,-1.3456857204437256,0.03215805068612099
-1.3506839275360107,0.03106885403394699,177,111249,,
,,177,111249,-1.3414232730865479,0.03234658017754555
-1.360333800315857,0.03064052388072014,178,111874,,
,,178,111874,-1.3441661596298218,0.032232314348220825
-1.3472511768341064,0.031244760379195213,179,112499,,
,,179,112499,-1.3443381786346436,0.03225543349981308
-1.3486109972000122,0.03119262121617794,180,113124,,
,,180,113124,-1.3405191898345947,0.03240324556827545
-1.3580410480499268,0.030852535739541054,181,113749,,
,,181,113749,-1.3462562561035156,0.03226740285754204
-1.362099528312683,0.030720174312591553,182,114374,,
,,182,114374,-1.3472377061843872,0.03225531429052353
-1.3614305257797241,0.03077526018023491,183,114999,,
,,183,114999,-1.3464590311050415,0.03229358419775963
-1.3597164154052734,0.031037790700793266,184,115624,,
,,184,115624,-1.3433306217193604,0.03236779198050499
-1.3565794229507446,0.03112732246518135,185,116249,,
,,185,116249,-1.341729998588562,0.03251146152615547
-1.3641058206558228,0.030995381996035576,186,116874,,
,,186,116874,-1.3466410636901855,0.03231512010097504
-1.3683159351348877,0.03067348338663578,187,117499,,
,,187,117499,-1.344884991645813,0.03241998329758644
-1.3660613298416138,0.030720846727490425,188,118124,,
,,188,118124,-1.3465617895126343,0.03239515423774719
-1.354978084564209,0.03111136145889759,189,118749,,
,,189,118749,-1.347366452217102,0.03237953037023544
-1.3602885007858276,0.030859705060720444,190,119374,,
,,190,119374,-1.3437395095825195,0.032531578093767166
-1.3608485460281372,0.03095824643969536,191,119999,,
,,191,119999,-1.346328854560852,0.03246951475739479
-1.3676153421401978,0.030680514872074127,192,120624,,
,,192,120624,-1.346966028213501,0.0324542336165905
-1.3584167957305908,0.031164484098553658,193,121249,,
,,193,121249,-1.3452078104019165,0.032578736543655396
-1.3681833744049072,0.03073018416762352,194,121874,,
,,194,121874,-1.3489688634872437,0.03243377059698105
-1.3546682596206665,0.031143901869654655,195,122499,,
,,195,122499,-1.3455983400344849,0.03258373588323593
-1.3569324016571045,0.0313601940870285,196,123124,,
,,196,123124,-1.3479567766189575,0.03253097087144852
-1.3325337171554565,0.032476235181093216,197,123749,,
,,197,123749,-1.348633050918579,0.03252792730927467
-1.3035238981246948,0.03323311731219292,198,124374,,
,,198,124374,-1.3469473123550415,0.03265978395938873
-1.359883427619934,0.03141961619257927,199,124999,,
,,199,124999,-1.3478045463562012,0.03258737921714783
-1.3672304153442383,0.031182775273919106,200,125624,,
,,200,125624,-1.3501899242401123,0.03254678472876549
-1.3680050373077393,0.031025951728224754,201,126249,,
,,201,126249,-1.3471629619598389,0.03268391266465187
-1.346828818321228,0.03139717876911163,202,126874,,
,,202,126874,-1.3492958545684814,0.032678671181201935
-1.3517647981643677,0.031714629381895065,203,127499,,
,,203,127499,-1.3479050397872925,0.03272445499897003
-1.3674509525299072,0.030892780050635338,204,128124,,
,,204,128124,-1.3461555242538452,0.03277546167373657
-1.3686001300811768,0.031050769612193108,205,128749,,
,,205,128749,-1.3503146171569824,0.03260724991559982
-1.3458681106567383,0.032027631998062134,206,129374,,
,,206,129374,-1.3479965925216675,0.03270326927304268
-1.3621549606323242,0.03130209073424339,207,129999,,
,,207,129999,-1.3538668155670166,0.03259265422821045
-1.3702118396759033,0.03093380108475685,208,130624,,
,,208,130624,-1.3470065593719482,0.032839737832546234
